,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
3352,CHEMBL3977620,185.0,nM,C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2nc(NC(=O)c3ccc(OC(C)(F)F)cn3)cs2)CO1,6.732828271596986,469.10538797199996,9,2,3.463700000000002,True
3353,CHEMBL3683882,185.0,nM,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c(C)c1,6.732828271596986,420.14092512800005,6,2,2.9838200000000015,True
3354,CHEMBL3688609,185.0,nM,NC1=N[C@@](c2cc(NC(=O)c3cc(Cl)cs3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,6.732828271596986,415.036909996,5,2,3.9867000000000017,True
3355,CHEMBL3906909,185.5,nM,COC1CCC2(CC1)Cc1ccc(CCC3CC3)cc1[C@@]21N=C(N)N([C@@H](C)c2ccccc2)C1=O,6.731656086048935,471.28857742400004,4,1,5.274100000000005,True
3356,CHEMBL2408743,186.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCOc2ccc(CC(C)(F)F)cc21,6.730487055782083,468.20360563599996,4,3,3.684000000000003,True
3357,CHEMBL3670317,186.0,nM,COc1ccc(C2(c3cccc(NC(=O)c4ncc(Cl)cc4Cl)c3)CSC(N)=N2)cc1O,6.730487055782083,488.04766679600004,7,3,4.660000000000003,True
3358,CHEMBL3934305,186.2,nM,CN1C(=O)C2(N=C1N)c1ccccc1OC21CCc2ccccc2CC1,6.730020323354676,347.163376912,4,1,2.3788,True
3359,CHEMBL1923705,187.0,nM,C[C@H](NC(=O)c1cc(-c2ncc(-c3cccc(F)c3)[nH]2)cc(N(C)S(C)(=O)=O)c1)c1ccccc1,6.7281583934635005,492.16313988,4,2,4.769600000000003,True
3360,CHEMBL255372,187.0,nM,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OC)CN2)c1,6.7281583934635005,531.290863168,5,3,3.614320000000002,True
3361,CHEMBL3917982,187.8,nM,CO[C@H]1CC[C@]2(CC1)Cc1ccc(CCc3ccccc3)cc1C21N=C(N)N(C(C)C)C1=O,6.726304412069908,445.2729273600001,4,1,4.363900000000003,True
3362,CHEMBL3973871,187.8,nM,COC1CCC2(CC1)Cc1ccc(-c3ccn(C4CC4)c(=O)c3)cc1C21N=C(N)N(C)C1=O,6.726304412069908,446.23179082,6,1,2.9637000000000002,True
3363,CHEMBL3925020,188.0,nM,C[C@@]1(c2nc(Nc3ncc(F)c4cc(C#N)cnc34)ccc2F)C[C@@H](C(F)(F)F)OC(N)=N1,6.72584215073632,463.117999168,8,2,3.79938,True
