,molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled
3845,CHEMBL3670378,380.0,nM,Cc1cc(C#N)cnc1C(=O)Nc1cc([C@]2(C)COC(CF)(CF)C(N)=N2)c(F)cn1,6.42021640338319,True
3846,CHEMBL605518,380.0,nM,CN1C(=O)C(c2cccc(NC(=O)c3ccc4c(c3)OCO4)c2)(C2CCCCC2)N=C1N,6.42021640338319,True
3847,CHEMBL584936,380.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCN(C(N)=O)CC1,6.42021640338319,True
3848,CHEMBL572290,380.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](C#N)NC1,6.42021640338319,True
3849,CHEMBL1208871,380.0,nM,C/C=C(\C)c1cccc(C2(NC[C@@H](O)[C@H](Cc3cc(F)cc(F)c3)NC(C)=O)CCCCC2)c1,6.42021640338319,True
3850,CHEMBL3653386,380.0,nM,C[C@@]1(c2cc(Br)cc(NC(=O)c3ccc(C#N)cn3)c2)COCC(N)=N1,6.42021640338319,True
3852,CHEMBL398418,380.0,nM,CCOc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N2CCCC2=O)c1,6.42021640338319,True
3854,CHEMBL4761564,382.0,nM,Oc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)c(O)c1,6.417936637088291,True
3855,CHEMBL3650170,384.0,nM,COc1cc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)ccn1,6.415668775632469,True
3856,CHEMBL3703266,388.0,nM,COc1ccnc(-c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)C(C)(C)O3)c1,6.411168274405792,True
3857,CHEMBL3650833,388.0,nM,NC1=NC2(CO1)c1cc(-c3cncnc3)ccc1OC(CC1CC1)C21COC1,6.411168274405792,True
3858,CHEMBL3650772,389.0,nM,CC1(C)Oc2ccc(-c3cccc(C4CC4)c3)cc2C2(COC(N)=N2)C12COC2,6.410050398674292,True
3859,CHEMBL3650190,389.0,nM,Cc1cnc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)cn1,6.410050398674292,True
3860,CHEMBL589891,390.0,nM,NC1=NC(c2ccccc2)(C2CCCCC2)C(=O)N1C[C@H]1CC[C@H](C(=O)O)CC1,6.4089353929735005,True
3861,CHEMBL3747556,390.0,nM,Cc1ccc2[nH]c(N[C@H]3CN(C(=O)c4ccccc4)C[C@@H]3OC(=O)c3ccc(-c4ccccc4)cc3)nc2c1,6.4089353929735005,False
3862,CHEMBL1821829,390.0,nM,CC(Cc1cc2cc(-c3ncccc3C#N)ccc2nc1N)C(=O)NCCC(C)(C)C,6.4089353929735005,True
